"","phon","freq","freq_log10","nd","pp"
"743","B_AA_P_DH_AH_D_AO_G",0.730239357856718,0.238106186715963,0,0.00184843734738577
"744","B_AA_R",24.0978988092717,1.39963736396166,21,0.00490841711959979
"745","B_AA_R_B_AA_R",17.5257445885612,1.26777567220898,0,0.00400963869593715
"746","B_AA_R_B_AA_R_B_L_AE_K_SH_IY_P",0.730239357856718,0.238106186715963,0,0.00267643373528498
"747","B_AA_R_B_ER_AH",1.46047871571344,0.39101961253686,1,0.00277635612730724
"748","B_AA_R_B_ER_Z",0.730239357856718,0.238106186715963,1,0.00335940561752067
"749","B_AA_R_B_IH_K_Y_UW",6.57215422071047,0.879219450579859,1,0.00335614984719288
"750","B_AA_R_B_IH_K_Y_UW_Z",0.730239357856718,0.238106186715963,1,0.00310179783960654
"751","B_AA_R_B_IY",8.76287229428062,0.989577608449387,3,0.00317517385450003
"752","B_AA_R_D",1.46047871571344,0.39101961253686,12,0.00403733024786484
"753","B_AA_R_G_AH_N",2.92095743142687,0.593392127330361,0,0.00680228175371786
"754","B_AA_R_G_AH_N_IH_NG",0.730239357856718,0.238106186715963,0,0.00835145483248819
"755","B_AA_R_K",7.30239357856718,0.919203317448713,13,0.00372601235808551
"756","B_AA_R_K_IH_NG",15.3350265149911,1.21311984375819,3,0.00718779566009855
"757","B_AA_R_K_S",3.65119678928359,0.667564714633417,6,0.0042943348061318
"758","B_AA_R_L_IY",1.46047871571344,0.39101961253686,3,0.00472469432315645
"759","B_AA_R_N",37.9724466085494,1.59075767074623,10,0.00361733856852585
"760","B_AA_R_N_IY",11.6838297257075,1.10325040320037,6,0.00365946969075756
"761","B_AA_R_N_IY_Z",2.19071807357015,0.503888432365908,3,0.00396971309554038
"762","B_AA_R_N_S",1.46047871571344,0.39101961253686,4,0.00415705520986671
"763","B_AA_R_N_S_T_EY_P_AH_L",2.19071807357015,0.503888432365908,0,0.00620826120617162
"764","B_AA_R_N_Z",2.19071807357015,0.503888432365908,5,0.00356191776344251
"765","B_AA_R_OW",27.7490955985553,1.45862418701748,8,0.00429907102289275
"766","B_AA_R_OW_D",1.46047871571344,0.39101961253686,2,0.00342633472243508
"767","B_AA_R_OW_IH_NG",2.19071807357015,0.503888432365908,1,0.00696786554686479
"768","B_AA_R_Z",2.19071807357015,0.503888432365908,11,0.00373308133832573
"769","B_AA_S_T_AH_N",0.730239357856718,0.238106186715963,1,0.00971956507109415
"770","B_AA_T",177.448163959183,2.25151208388878,27,0.00266995383673144
"771","B_AA_T_AH_L",134.364041845636,2.13150331352185,7,0.00784063012324343
"772","B_AA_T_AH_L_S",1.46047871571344,0.39101961253686,3,0.00658263439969372
"773","B_AA_T_AH_L_Z",17.5257445885612,1.26777567220898,4,0.00695050413139481
"774","B_AA_T_AH_M",313.272684520532,2.49730663530478,3,0.00529289895486541
"775","B_AA_T_AH_M_S",5.84191486285375,0.835177665753331,3,0.0043615608082163
"776","B_AA_T_AH_M_Z",2.19071807357015,0.503888432365908,3,0.00449705902146086
"777","B_AE_D",127.061648267069,2.10741908727954,21,0.00210330438067533
"778","B_AE_D_IY_Z",10.9535903678508,1.07749836911267,3,0.00338703119229945
"779","B_AE_D_L_IY",8.76287229428062,0.989577608449387,0,0.00328403615019943
"780","B_AE_D_M_IH_N_T_AH_N",2.19071807357015,0.503888432365908,0,0.00671146656457174
"781","B_AE_D_T_EH_M_P_ER_D",5.84191486285375,0.835177665753331,0,0.00208679831181441
"782","B_AE_G",325.686753604096,2.51413152519084,18,0.00177346576266662
"783","B_AE_G_AH_JH",0.730239357856718,0.238106186715963,0,0.00160677920860221
"784","B_AE_G_IY",2.92095743142687,0.593392127330361,8,0.00137552930167712
"785","B_AE_G_L_EY_D_IY",0.730239357856718,0.238106186715963,0,0.00212818719112091
"786","B_AE_G_S",0.730239357856718,0.238106186715963,7,0.00132698897069427
"787","B_AE_G_Z",33.591010461409,1.53896324866959,8,0.00149937783548579
"788","B_AE_JH",24.0978988092717,1.39963736396166,9,0.00149226172871064
"789","B_AE_JH_AH_Z",6.57215422071047,0.879219450579859,1,0.00243392058651046
"790","B_AE_JH_ER",9.49311165213734,1.02090429400512,4,0.00135168327500011
"791","B_AE_JH_ER_Z",3.65119678928359,0.667564714633417,2,0.00204229908120222
"792","B_AE_K",2055.62379236666,3.31315485569964,20,0.00277386784626269
